Date, Time, Amount, Type, Description
2025-04-05,04:46:03,-0.97,Withdrawal,"SHELL OIL 12713275001 7215 S ELLSWORTH RD MESA, AZ, US"
2025-04-05,04:42:36,-7.09,Withdrawal,"TEMU US 31 ST JAMES AVE BOSTON, MA, US"
2025-04-05,04:42:12,-3.11,Withdrawal,"Pilates Place 2450 E GERMANN RD 9 CHANDLER, AZ, US"
2025-04-05,04:37:41,-6.00,Withdrawal,"SQ *KETTLE HEADS LLC 24355 hwy 65 ne eastbet BETHEL, MN, US"
2025-04-05,23:05:06,-267.25,Withdrawal,"WM SUPERCENTER #3861 Wal-Mart Super Center GILBERT, AZ, US"
2025-04-05,22:58:14,100.00,Deposit,Internet transfer from Savings account XXXXXX3562
2025-04-04,17:04:13,-26.93,Withdrawal,"SUPERSTITION RANCH FAR MESA, AZ, US"
2025-04-04,13:30:37,-17.35,Withdrawal,"SQ *GRANDMAS ICECREAM 1015 N Opal Mesa, AZ, US"
2025-04-04,11:05:48,-34.00,Withdrawal,"SP TULAS 10802 Northwest 76th La MEDLEY, FL, US"
2025-04-04,08:33:09,140.00,Deposit,Zelle payment from JANE BURI to Chad E Cornwell (Ally Spending Account XXXXXX5022)
2025-04-04,02:06:23,-10.87,Withdrawal,"SUPERSTITION FARM 3440 S HAWES RD MESA, AZ, US"
2025-04-03,21:25:34,-35.00,Withdrawal,Zelle payment from Chad E Cornwell (Ally Spending Account XXXXXX5022) to PEGGY  CORNWELL
2025-04-03,15:18:49,100.00,Deposit,Overdraft Transfer from Savings Account XXXXXX5011
2025-04-03,11:36:33,-10.21,Withdrawal,"DUTCH BROS AZ0612 1326 S ALMA SCHOOL RD MESA, AZ, US"
2025-04-03,11:17:03,-9.61,Withdrawal,"MCDONALD'S F2771 2130 W SOUTHERN AVE MESA, AZ, US"
2025-04-02,21:44:08,-28.20,Withdrawal,"SAFEWAY #1819 QUEEN CREEK, AZ, US"
2025-04-02,11:00:04,-11.65,Withdrawal,"MCDONALD'S F32097 2951 E GERMANN RD CHANDLER, AZ, US"
2025-04-01,15:00:14,-84.56,Withdrawal,"COSTCO GAS #162 QUEEN CREEK, AZ, US"
2025-04-01,14:56:35,100.00,Deposit,Overdraft Transfer from Savings Account XXXXXX5011
2025-04-01,12:59:04,-191.32,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-03-31,18:41:20,-100.00,Withdrawal,SRP ECHXPWR-S1
2025-03-31,14:55:56,-183.45,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-31,14:52:04,-24.99,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-31,13:53:13,-7.15,Withdrawal,"FRYS #656 22265 E QUEE QUEEN CREEK, AZ, US"
2025-03-31,12:47:32,-35.41,Withdrawal,"MCDONALD'S F32321 20735 E MAYA RD QUEEN CREEK, AZ, US"
2025-03-31,12:47:32,-528.01,Withdrawal,"VZWRLSS*APOCC VISW 899 HEATHROW PARK LN 800-922-0204, FL, US"
2025-03-31,12:45:52,-63.10,Withdrawal,"AMAZON.COM*3E74B5EL3 AMAZON.COM SEATTLE, WA, US"
2025-03-31,12:18:44,-40.28,Withdrawal,"AMAZON.COM*IH5NK37K3 AMAZON.COM SEATTLE, WA, US"
2025-03-31,08:56:04,-41.25,Withdrawal,"TST*MOKU HAWAIIAN MESA 4425 S Power Rd A-105 Mesa, AZ, US"
2025-03-31,08:45:06,-16.99,Withdrawal,"FROST GELATO 2150 E WILLMS FLD RD 12 GILBERT, AZ, US"
2025-03-31,07:18:19,-6.00,Withdrawal,"SQ *KETTLE HEADS LLC 4353 East University Dr Mesa, AZ, US"
2025-03-31,03:29:39,-160.00,Withdrawal,VENMO PAYMENT
2025-03-30,15:52:05,-25.19,Withdrawal,"SUPERSTITION RANCH FAR MESA, AZ, US"
2025-03-30,15:13:52,-64.49,Withdrawal,"SPEEDWAY  7226 S ELLSW MESA, AZ, US"
2025-03-30,12:58:55,-141.10,Withdrawal,"RAMSEY* RA* TRIAL OVER 1011 Reams Fleming Blvd FRANKLIN, TN, US"
2025-03-30,10:49:03,-57.04,Withdrawal,"EB *2025 PARKERS PIRAN 535 MISSION STREET, 8TH 8014137200, CA, US"
2025-03-30,10:34:42,-57.43,Withdrawal,"CHICK-FIL-A #01694 4908 SOUTH POWER ROAD HIGLEY, AZ, US"
2025-03-30,10:34:26,-26.27,Withdrawal,"UBER   *EATS 1455 MARKET ST 8005928996, CA, US"
2025-03-30,04:04:53,-22.38,Withdrawal,"SHELL OIL 12634527019 3171 E PECOS RD GILBERT, AZ, US"
2025-03-30,03:43:46,-21.71,Withdrawal,"CLAUDE.AI SUBSCRIPTION 548 Market Street PMB 9 SAN FRANCISCO, CA, US"
2025-03-30,03:23:15,-123.98,Withdrawal,"SPI*DIRECTV STREAM 2260 E IMPERIAL HWY 800-531-5000, CA, US"
2025-03-30,01:58:01,-13.80,Withdrawal,"DUTCH BROS AZ0631 3055 S GILBERT RD CHANDLER, AZ, US"
2025-03-29,22:38:36,-88.40,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-28,13:23:41,-10.95,Withdrawal,"OPENROUTER, INC 169 Madison Avenue #240 NEW YORK, NY, US"
2025-03-28,13:05:57,-13.00,Withdrawal,"APPLE CASH BALANCE ADD 1 INFINITE LOOP 877-233-8552, CA, US"
2025-03-28,11:14:09,-3.67,Withdrawal,"MCDONALD'S F39726 9225 E CADENCE PKWY MESA, AZ, US"
2025-03-28,11:01:09,-1.50,Withdrawal,"MCDONALD'S F32097 2951 E GERMANN RD CHANDLER, AZ, US"
2025-03-28,10:49:57,-22.94,Withdrawal,"BANNER CLINIC 79791000 21772 S ELLSWORTH LO QUEEN CREEK, AZ, US"
2025-03-28,10:49:22,-44.03,Withdrawal,"TARGET        00023655 21398 S ELLSWORTH QUEEN CREEK, AZ, US"
2025-03-28,10:42:06,-8.17,Withdrawal,"TARGET        00023655 21398 S ELLSWORTH QUEEN CREEK, AZ, US"
2025-03-28,05:49:49,-27.13,Withdrawal,"NETFLIX COM LOS GATOS, CA, US"
2025-03-28,02:01:13,-89.00,Withdrawal,"CLASSPASS* MONTHLY 101 E Front St, Suite 2 MISSOULA, MT, US"
2025-03-28,00:51:03,-37.94,Withdrawal,"UBER   * EATS PENDING UBEREATS.COM SAN FRANCISCO, CA, US"
2025-03-27,20:31:20,-99.26,Withdrawal,"OLD NAVY US 6821 21398 QUEEN CREEK, AZ, US"
2025-03-27,16:13:42,2368.03,Deposit,MG6UNITED TECHNO DIRECT DEP
2025-03-27,12:20:35,-44.00,Withdrawal,"9575 GREAT CLIPS AT QU 21582 S ELLSWORTH LOOP QUEEN CREEK, AZ, US"
2025-03-27,12:17:10,-22.00,Withdrawal,"9575 GREAT CLIPS AT QU 21582 S ELLSWORTH LOOP QUEEN CREEK, AZ, US"
2025-03-27,11:55:51,-7.59,Withdrawal,"HOMEGOODS #0756 21351 S ELLSWORTH LOOP QUEEN CREEK, AZ, US"
2025-03-27,01:44:00,-5.00,Withdrawal,"SQ *STEADFAST COFFEE & 5111 S. Inspirian Parkw Mesa, AZ, US"
2025-03-26,17:33:51,-77.17,Withdrawal,"COSTCO GAS #162 QUEEN CREEK, AZ, US"
2025-03-26,17:16:38,-81.05,Withdrawal,"TARGET T- 21398 S Ells Queen Creek, AZ, US"
2025-03-26,11:01:28,-9.95,Withdrawal,"CIRCLE K 03377 3010 S  GILBERT RD CHANDLER, AZ, US"
2025-03-26,10:37:12,-19.18,Withdrawal,"BETTER DAYS BEHAVIORAL 3170 S GILBERT RD STE 1 CHANDLER, AZ, US"
2025-03-26,01:45:11,-12.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-26,01:45:07,-40.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-25,21:02:59,400.00,Deposit,Internet transfer from Savings account XXXXXX0640
2025-03-25,18:38:08,-8.66,Withdrawal,"GOOGLE *YOUTUBEPREMIUM MOUNTAIN VIEW, CA, US"
2025-03-25,13:20:12,-123.00,Withdrawal,"TOWN OF QUEEN CREEK 22350 S ELLSWORTH RD 4803583000, AZ, US"
2025-03-25,10:57:17,-4.66,Withdrawal,"KONA ICE 5945 Centennial Circle FLORENCE, KY, US"
2025-03-25,04:07:07,-5.00,Withdrawal,SUNVALLEYCOMMUNI WEBPAYMENT
2025-03-25,03:20:14,-29.80,Withdrawal,"TST*SOMEBURROS - QUEEN 20707 E Maya Rd Queen Creek, AZ, US"
2025-03-24,17:54:04,-1.51,Withdrawal,"CIRCLE K 03377 3010 S CHANDLER, AZ, US"
2025-03-24,16:57:16,-20.15,Withdrawal,"CIRCLE K 03383 7260 S GILBERT, AZ, US"
2025-03-24,13:10:05,-187.63,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-03-24,12:43:52,-37.99,Withdrawal,"DAVE & BUSTERS #179 PW 21000 S ELLSWORTH LOOP QUEEN CREEK, AZ, US"
2025-03-23,17:57:48,-199.77,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-23,16:57:10,9.76,Deposit,"AMAZON.COM SEATTLE, WA, US"
2025-03-23,15:31:18,-22.18,Withdrawal,"MCDONALD'S F32321 20735 E MAYA RD queen creek, AZ, US"
2025-03-23,15:19:11,-19.98,Withdrawal,"WM SUPERCENTER #4451 Wal-Mart Super Center QUEEN CREEK, AZ, US"
2025-03-23,15:09:50,431.34,Deposit,Internet transfer from Savings account XXXXXX5011
2025-03-23,10:47:32,-2.78,Withdrawal,"MCDONALD'S F26331 1536 N HIGLEY RD GILBERT, AZ, US"
2025-03-23,10:35:18,-135.00,Withdrawal,"POLISH NAILS 1652 N HIGLEY RD #109 GLIBERT, AZ, US"
2025-03-23,02:02:42,100.00,Deposit,Overdraft Transfer from Savings Account XXXXXX5011
2025-03-22,22:57:53,37.99,Deposit,"AMAZON.COM SEATTLE, WA, US"
2025-03-22,22:55:27,53.96,Deposit,"AMAZON.COM SEATTLE, WA, US"
2025-03-22,22:49:07,12.69,Deposit,"AMAZON.COM SEATTLE, WA, US"
2025-03-22,16:44:50,-73.84,Withdrawal,"AMAZON.COM*J07WB6243 AMAZON.COM SEATTLE, WA, US"
2025-03-22,16:07:30,65.00,Deposit,Zelle payment from ASHLEIGH DRAPER to Elizabeth A Callis (Ally Spending Account XXXXXX5022)
2025-03-22,15:03:56,200.00,Deposit,Internet transfer from Savings account XXXXXX3244
2025-03-22,14:32:54,-70.05,Withdrawal,"SPINATOS PIZZERIA GILB 3150 E RAY RD GILBERT, AZ, US"
2025-03-22,12:09:05,-50.00,Withdrawal,"POLISH NAILS 1652 N HIGLEY RD #109 GLIBERT, AZ, US"
2025-03-22,03:12:30,-10.97,Withdrawal,"SHELL OIL 12713275001 7215 S ELLSWORTH RD MESA, AZ, US"
2025-03-21,19:40:11,100.00,Deposit,Overdraft Transfer from Savings Account XXXXXX5011
2025-03-21,13:29:40,-37.99,Withdrawal,"AMAZON.COM*TB45O1AN3 AMAZON.COM SEATTLE, WA, US"
2025-03-21,11:22:12,-16.28,Withdrawal,"BETTER DAYS BEHAVIORAL 3170 S GILBERT RD STE 1 CHANDLER, AZ, US"
2025-03-21,01:56:05,-6.00,Withdrawal,"SQ *KETTLE HEADS LLC 4700 East Main Street Mesa, AZ, US"
2025-03-20,23:35:48,0.04,Deposit,Interest Paid
2025-03-20,23:34:37,7.00,Deposit,ATM Fee Reimbursement
2025-03-20,22:42:18,-58.48,Withdrawal,"SPEEDWAY  7226 S ELLSW MESA, AZ, US"
2025-03-20,20:32:25,-78.45,Withdrawal,"COSTCO GAS #162 QUEEN CREEK, AZ, US"
2025-03-20,17:24:12,-35.59,Withdrawal,"SUPERSTITION RANCH FAR MESA, AZ, US"
2025-03-20,15:30:02,-39.84,Withdrawal,"MCDONALD'S F27481 4740 E QUEEN CREEK RD GILBERT, AZ, US"
2025-03-20,15:08:47,-25.00,Withdrawal,"CVS/PHARMACY #01719 01719--7587 South Power Queen Creek, AZ, US"
2025-03-20,11:49:18,-24.98,Withdrawal,"PAPA JOHNS 3327 21803 S ELLSWORTH RD QUEEN CREEK, AZ, US"
2025-03-20,03:23:46,-194.33,Withdrawal,"PROGRESSIVE *INSURANCE 6300 Wilson Mills Rd 800-776-4737, OH, US"
2025-03-20,03:16:26,-10.84,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US"
2025-03-20,01:52:21,-5.09,Withdrawal,"QT 474 22185 S ELLSWORTH LOOP QUEEN CREEK, AZ, US"
2025-03-19,13:54:06,-26.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-19,11:05:18,-12.23,Withdrawal,"MCDONALD'S F35558 6324 S HIGHLEY RD GILBERT, AZ, US"
2025-03-18,20:23:56,13.00,Deposit,Zelle payment from ASHLEIGH DRAPER to Elizabeth A Callis (Ally Spending Account XXXXXX5022)
2025-03-18,18:28:25,-26.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-18,12:20:56,-10.00,Withdrawal,"APPLE CASH BALANCE ADD 1 INFINITE LOOP 877-233-8552, CA, US"
2025-03-18,10:34:40,-5.58,Withdrawal,"MCDONALD'S F32097 2951 E GERMANN RD CHANDLER, AZ, US"
2025-03-18,03:25:58,-5.41,Withdrawal,"MICROSOFT*STORE One Microsoft Way REDMOND, WA, US"
2025-03-18,02:26:51,-17.52,Withdrawal,"TST*FRESH MONKEE - MES 4513 S Power Rd Ste C10 Mesa, AZ, US"
2025-03-17,13:17:52,-191.59,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-03-17,07:10:34,-21.66,Withdrawal,"PERSPIRE SAUNA STUDIO 4513 South Power Road MESA, AZ, US"
2025-03-17,01:56:41,-13.86,Withdrawal,"DUTCH BROS AZ1401 QUEE 20898 E QUEEN CREEK RD QUEEN CREEK, AZ, US"
2025-03-17,00:17:30,-5.00,Withdrawal,Zelle payment from Elizabeth A Callis (Ally Spending Account XXXXXX5022) to ASHLEIGH  DRAPER
2025-03-16,19:27:00,-206.29,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-16,18:24:53,9.02,Deposit,Zelle payment from ASHLEIGH DRAPER to Elizabeth A Callis (Ally Spending Account XXXXXX5022)
2025-03-16,11:33:44,-60.00,Withdrawal,"SUN VALLEY COMMUNITY C 456 E RAY RD 4806328920, AZ, US"
2025-03-16,03:59:19,0.23,Deposit,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US"
2025-03-16,01:10:07,-24.84,Withdrawal,"AMAZON.COM*JC0D15XE3 AMAZON.COM SEATTLE, WA, US"
2025-03-16,01:09:39,-10.84,Withdrawal,"AMAZON.COM*G201I1CT3 AMAZON.COM SEATTLE, WA, US"
2025-03-16,01:09:33,-41.24,Withdrawal,"AMAZON.COM*9M9UV2YG3 AMAZON.COM SEATTLE, WA, US"
2025-03-15,17:56:40,-31.98,Withdrawal,"SUPERSTITION RANCH FAR MESA, AZ, US"
2025-03-15,16:07:57,-1.08,Withdrawal,"CIRCLE K 05307 3589 E GILBERT, AZ, US"
2025-03-15,15:51:25,-58.62,Withdrawal,"AMAZON.COM*3L9940ES3 AMAZON.COM SEATTLE, WA, US"
2025-03-15,15:40:48,-40.27,Withdrawal,"COBBLESTONE AUT GILBERT, AZ, US"
2025-03-15,13:12:10,-21.71,Withdrawal,"OPENAI *CHATGPT SUBSCR 548 Market Street PMB 9 SAN FRANCISCO, CA, US"
2025-03-15,13:04:35,-11.67,Withdrawal,"MCDONALD'S F36098 146 W BASELINE ROAD MESA, AZ, US"
2025-03-15,13:00:30,-25.05,Withdrawal,"LOS FAVORITOS 904 North McQueen Road GILBERT, AZ, US"
2025-03-15,12:25:49,-34.44,Withdrawal,"ALDI 79153 20229 ELLSWORTH RD QUEEN CREEK, AZ, US"
2025-03-15,10:49:31,-23.41,Withdrawal,"UBER   *EATS 1455 MARKET ST 8005928996, CA, US"
2025-03-14,17:53:17,-100.00,Withdrawal,SRP ECHXPWR-S2
2025-03-14,01:57:41,-32.26,Withdrawal,"JACK IN THE BOX 1574 21292 E Ocotillo Rd QUEEN CREEK, AZ, US"
2025-03-13,23:18:24,-437.00,Withdrawal,AMEX EPAYMENT RETRY PYMT
2025-03-13,16:34:00,-180.74,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-13,16:33:10,-23.23,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-13,16:25:54,-24.99,Withdrawal,"COSTCO WHSE #16 QUEEN CREEK, AZ, US"
2025-03-13,15:52:32,-91.55,Withdrawal,"COSTCO GAS #162 QUEEN CREEK, AZ, US"
2025-03-13,12:34:53,-25.11,Withdrawal,"SPEEDWAY  7226 S ELLSW MESA, AZ, US"
2025-03-13,05:05:55,2368.03,Deposit,MG6UNITED TECHNO DIRECT DEP
2025-03-13,02:19:12,-30.42,Withdrawal,"THE HOME DEPOT #8582 2530 E GERMAN RD CHANDLER, AZ, US"
2025-03-13,02:15:42,-21.72,Withdrawal,"QT 1433 INSIDE 5215 S ELLSWORTH RD MESA, AZ, US"
2025-03-13,01:38:01,-22.78,Withdrawal,"AMAZON.COM*XZ4BE24O3 AMAZON.COM SEATTLE, WA, US"
2025-03-13,00:39:01,-11.17,Withdrawal,"WALGREENS 21212 E OCOT QUEEN CREEK, AZ, US"
2025-03-13,00:38:17,100.00,Deposit,Overdraft Transfer from Savings Account XXXXXX5011
2025-03-13,00:38:17,-60.79,Withdrawal,"TARGET T- 21398 S Ells Queen Creek, AZ, US"
2025-03-12,11:30:00,-25.38,Withdrawal,"BETTER DAYS BEHAVIORAL 3170 S GILBERT RD STE 1 CHANDLER, AZ, US"
2025-03-12,03:51:38,-59.00,Withdrawal,"CLASSPASS* MONTHLY 101 E Front St, Suite 2 MISSOULA, MT, US"
2025-03-12,02:05:18,-7.44,Withdrawal,"STARBUCKS STORE 19282 2882 South San Tan Vill GILBERT, AZ, US"
2025-03-11,13:32:03,-40.52,Withdrawal,"WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE, AR, US"
2025-03-11,13:07:41,-11.62,Withdrawal,"WALMART.COM 702 SW 8TH STREET MS100 WALMART.COM, AR, US"
2025-03-11,10:56:06,22.73,Deposit,"WAL-MART #5186 2501 S MARKET ST GILBERT, AZ, US"
2025-03-11,05:55:01,-5.00,Withdrawal,SUNVALLEYCOMMUNI WEBPAYMENT
2025-03-10,19:00:05,-144.06,Withdrawal,"WAL-MART #5186 2501 S MARKET ST GILBERT, AZ, US"
2025-03-10,13:09:12,-41.49,Withdrawal,"MCDONALD'S F33395 5255 S. POWER RD MESA, AZ, US"
